round_epochs,val_loss,val_main_output_loss,val_sec_output_loss,val_main_output_score,val_sec_output_score,loss,main_output_loss,sec_output_loss,main_output_score,sec_output_score,Dlayers,Llayers,batch_size,drpout,nodes
1,0.01852921068925282,0.007161022163927555,0.056761447340250015,-0.007161017041653395,-0.05676139146089554,0.1304236106896143,0.09717902,0.16023993,-0.097178996,-0.16023989,1,3,32,0,50
1,0.012586498408225077,0.007950624451041222,0.023281525820493698,-0.007950609549880028,-0.023281577974557877,0.0888841180930392,0.06657403,0.10689344,-0.066574015,-0.10689337,1,3,32,0,100
1,0.04204082023709213,0.025220008566975594,0.08487445116043091,-0.025220008566975594,-0.08487444370985031,0.22862680490068393,0.18487632,0.20866522,-0.18487634,-0.20866524,1,3,32,0.2,10
1,0.012699000480302905,0.007340900134295225,0.027087589725852013,-0.007340884767472744,-0.027087591588497162,0.13378023884127394,0.1029508,0.14601183,-0.102950774,-0.14601181,1,3,32,0.2,50
1,0.009716762151297938,0.00790933333337307,0.009215019643306732,-0.007909317500889301,-0.009215014986693859,0.08260251757347112,0.061988186,0.098269045,-0.06198818,-0.09826898,1,3,32,0.2,100
1,0.12193647112654543,0.10016527771949768,0.10736195743083954,-0.10016524791717529,-0.10736193507909775,0.24719538447096479,0.20675895,0.1976954,-0.20675892,-0.1976954,1,3,32,0.5,10
1,0.04004019909891589,0.014524627476930618,0.12733303010463715,-0.014524632133543491,-0.12733295559883118,0.17543048731071487,0.1360327,0.18928342,-0.1360327,-0.18928342,1,3,32,0.5,50
1,0.010817125018586143,0.007790090516209602,0.015369190834462643,-0.007790072821080685,-0.01536922249943018,0.10577489682104733,0.08307078,0.10740778,-0.0830708,-0.10740775,1,3,32,0.5,100
1,0.27695217306129777,0.229770690202713,0.23246197402477264,-0.229770690202713,-0.23246197402477264,0.2862062217806169,0.23821461,0.23850828,-0.23821461,-0.23850825,1,3,128,0,10
1,0.22879421454051446,0.18367452919483185,0.2185729295015335,-0.18367448449134827,-0.2185729444026947,0.27306262503424994,0.22452673,0.23621686,-0.2245267,-0.23621689,1,3,128,0,50
1,0.13217150645466144,0.0904613584280014,0.19778844714164734,-0.09046129882335663,-0.19778846204280853,0.25076070994638994,0.20085816,0.22951396,-0.20085816,-0.22951396,1,3,128,0,100
1,0.2777071693391179,0.23018696904182434,0.23647646605968475,-0.23018696904182434,-0.23647649586200714,0.28692228233785655,0.23869857,0.2398833,-0.2386986,-0.2398833,1,3,128,0.2,10
1,0.22679705318363233,0.1842663288116455,0.2139527052640915,-0.1842663437128067,-0.2139527052640915,0.2746886306029144,0.22596495,0.23616707,-0.22596493,-0.23616707,1,3,128,0.2,50
1,0.1780293425152585,0.1341356337070465,0.20576897263526917,-0.13413558900356293,-0.20576897263526917,0.26263825339522007,0.21332884,0.23072882,-0.21332885,-0.23072882,1,3,128,0.2,100
1,0.27434180888179616,0.22647428512573242,0.23633480072021484,-0.22647428512573242,-0.23633480072021484,0.2834051037006241,0.23507132,0.23987164,-0.23507132,-0.23987164,1,3,128,0.5,10
1,0.22216026393618163,0.17869554460048676,0.2147543877363205,-0.17869554460048676,-0.2147543877363205,0.27451833958963123,0.22583205,0.23571545,-0.22583205,-0.23571545,1,3,128,0.5,50
1,0.11228822805415625,0.07672049105167389,0.17396903038024902,-0.07672043144702911,-0.17396900057792664,0.25045812071370277,0.20197305,0.22445434,-0.20197304,-0.22445436,1,3,128,0.5,100
1,0.06432878340226937,0.0426681786775589,0.10994209349155426,-0.042668167501688004,-0.10994203388690948,0.23881915407500964,0.19468415,0.21269223,-0.19468416,-0.21269223,2,1,32,0,10
1,0.008736909770360395,0.004145351704210043,0.023019568994641304,-0.004145348910242319,-0.02301958203315735,0.11812437570137943,0.088844664,0.13934895,-0.08884467,-0.13934894,2,1,32,0,50
1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,1,32,0,100
1,0.0506960083070386,0.03646742179989815,0.07139969617128372,-0.03646739944815636,-0.07139959186315536,0.21671319873713188,0.17748933,0.18643318,-0.17748928,-0.18643318,2,1,32,0.2,10
1,0.0090876755472344,0.007547521498054266,0.007915127091109753,-0.007547502871602774,-0.007915112189948559,0.11891561749902703,0.09521379,0.11143835,-0.09521377,-0.11143834,2,1,32,0.2,50
1,0.00924939449191436,0.007648011203855276,0.008272821083664894,-0.007647993974387646,-0.008272804319858551,0.08235724828936321,0.06565573,0.078686886,-0.06565573,-0.07868686,2,1,32,0.2,100
1,0.15767799928727277,0.13203728199005127,0.12709945440292358,-0.13203728199005127,-0.1270994395017624,0.25893391015575373,0.21570393,0.21023732,-0.21570393,-0.21023734,2,1,32,0.5,10
1,0.00929234968319935,0.007499409839510918,0.009317773394286633,-0.007499392610043287,-0.009317771531641483,0.1567268851009919,0.1256795,0.146031,-0.1256795,-0.14603099,2,1,32,0.5,50
1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,1,32,0.5,100
1,0.27907167460726595,0.23272576928138733,0.22941036522388458,-0.23272576928138733,-0.22941036522388458,0.28655245975910615,0.23889774,0.23686942,-0.23889774,-0.2368694,2,1,128,0,10
1,0.22821089676741896,0.1853068321943283,0.21184924244880676,-0.1853068321943283,-0.21184924244880676,0.27132985442519475,0.2234117,0.23265474,-0.22341168,-0.23265474,2,1,128,0,50
1,0.15031151313662985,0.114626444876194,0.17125779390335083,-0.11462638527154922,-0.17125776410102844,0.2571532348791758,0.20842855,0.22601332,-0.20842855,-0.22601332,2,1,128,0,100
1,0.282376099820338,0.2355688512325287,0.23102757334709167,-0.2355688512325287,-0.23102755844593048,0.28884022423117567,0.24109513,0.23758948,-0.24109513,-0.23758948,2,1,128,0.2,10
1,0.24910563909916128,0.20837536454200745,0.201674222946167,-0.20837537944316864,-0.2016741931438446,0.280264601247202,0.2334495,0.2293294,-0.23344952,-0.2293294,2,1,128,0.2,50
1,0.11921144787835893,0.08522825688123703,0.16523191332817078,-0.08522821962833405,-0.1652318686246872,0.24169662150261786,0.19376539,0.21890436,-0.19376539,-0.21890435,2,1,128,0.2,100
1,0.2796904874030658,0.2338193953037262,0.2257639467716217,-0.2338193655014038,-0.2257639467716217,0.286224738470942,0.239096,0.2342407,-0.23909597,-0.23424068,2,1,128,0.5,10
1,0.2444817662467445,0.20100414752960205,0.21315912902355194,-0.20100414752960205,-0.21315915882587433,0.275274865289958,0.22756849,0.23228224,-0.22756846,-0.23228225,2,1,128,0.5,50
1,0.1186573602744446,0.089544378221035,0.144424706697464,-0.08954433351755142,-0.1444246619939804,0.2530180394720974,0.20592476,0.2148056,-0.20592476,-0.2148056,2,1,128,0.5,100
1,0.04653676493642887,0.028564121574163437,0.09050010144710541,-0.028564121574163437,-0.09050005674362183,0.22223788635264768,0.18018997,0.1993295,-0.18018998,-0.1993295,2,2,32,0,10
1,0.031355014763115925,0.0032063641119748354,0.14071522653102875,-0.0032063641119748354,-0.14071524143218994,0.1574078563672247,0.115121745,0.20323378,-0.115121745,-0.2032338,2,2,32,0,50
1,0.008622267579666956,0.007083561271429062,0.007929070852696896,-0.0070835379883646965,-0.007929054088890553,0.07359822564791861,0.057551976,0.076161124,-0.057551965,-0.07616112,2,2,32,0,100
1,0.13229065288529085,0.10512426495552063,0.13562718033790588,-0.10512423515319824,-0.1356271505355835,0.24631243122281501,0.20313033,0.20701256,-0.2031303,-0.20701258,2,2,32,0.2,10
1,0.014080256163017732,0.004309609532356262,0.04899892210960388,-0.004309606738388538,-0.048998888581991196,0.1386640941353439,0.099920936,0.18627755,-0.09992093,-0.18627755,2,2,32,0.2,50
1,0.008384290044249475,0.0066360123455524445,0.009136280976235867,-0.006635988596826792,-0.009136280976235867,0.09046985798423811,0.06482018,0.12292848,-0.06482017,-0.12292846,2,2,32,0.2,100
1,0.17419621793703102,0.14687883853912354,0.13447222113609314,-0.14687883853912354,-0.13447219133377075,0.26030792071521996,0.2161922,0.21610656,-0.21619222,-0.21610658,2,2,32,0.5,10
1,0.014550013267845486,0.007772807497531176,0.03421485796570778,-0.007772792596369982,-0.0342148020863533,0.146551512131731,0.11726735,0.13833271,-0.11726729,-0.13833262,2,2,32,0.5,50
1,0.009407818235342758,0.0076532382518053055,0.009039469063282013,-0.007653221487998962,-0.00903946440666914,0.09802918506192146,0.07778874,0.095544286,-0.077788725,-0.09554426,2,2,32,0.5,100
1,0.27976279925569264,0.23194754123687744,0.2364804446697235,-0.23194754123687744,-0.2364804744720459,0.28692541709906766,0.2386441,0.23998846,-0.2386441,-0.23998846,2,2,128,0,10
